Offering Dept,Subj Area,Catalog,Course Title,Course Description,Total Credits,Component,Session,Section,Class Cap,Class Waitlist Cap,Primary,Secondary,Class(es) Per Week,Minutes Per Session,Final Exam,Pass/Fail Conversion ,Instructor Name,Additional Information
ACF,ACCT,352,Advanced Auditing,"Advanced Auditing aims to build on students’ principles level understanding by delving deeper into its key assurance/audit dynamics, critically analyzing auditing practices, and understanding the role of assurance in enhancing governance of businesses and managing their risks. The course revisits the stages (acceptance, planning, managing through to conclusion) of the audit process with an emphasis on case-lets. The course introduces a conceptual regulatory framework by elucidating key legal, professional and social/ethical concerns and then discusses how pre-audit and planning phases must comply with cautious quality and independence concerns on part of the assurance provider. This pursuit is governed by a set of professional procedures which the course highlights. Students shall apply learned International Auditing Standards (ISAs) and International Accounting Standards (IASs) under an IFRS (International Financial Reporting) framework to business scenarios, thereby invoking specialist knowledge gained from auditing and financial reporting courses. 
Whilst statutory audit, a pivotal sub-set of assurance will feature majorly in the course, a variety of other engagements, also falling under the umbrella of assurance will be surveyed. These entail other audit-related assurances, forensic audits, review of prospective information and internal audit genres.",3.00,LEC,16W,S1,60,5,Yes,No,2,75,Yes,Not Allowed,"Rauf,Abdul","Enrollment Phase 1: ACF Junior, Senior 	
Appt 1: Open	
Appt 2: Open	
Appt 3: Closed	
Appt 4: Closed	
Appt 5: Open	
Appt 6: Open	
Appt 7: Closed	
Appt 8: Open	
Enrollment Phase 2: Any Junior, Senior 	
Add/Drop Phase: Any Junior, Senior 

Preferred Days, Timings and Venue:
Lec1: MW (09:30 AM - 10:45 AM) A-7"
ACF,ACCT,370,Applied Taxation,"""The course covers operation of Pakistan’s tax system, both direct and indirect with specific reference to: Computation of taxable income under various heads for individuals, partnerships and corporations Calculation of tax liability including computation of various exemptions and reliefs available for different categories of taxpayers. 
Explanation and application of the principles of General Sales Tax &Federal Excise Tax.
""",3.00,LEC,16W,S1,55,5,Yes,No,2,75,Yes,Not Allowed,Huzaima  Bukhari,"Enrollment Phase 1: ACF Senior 	
Appt 1: Open	
Appt 2: Closed	
Appt 3: Closed	
Appt 4: Closed	
Appt 5: Open	
Appt 6: Closed	
Appt 7: Closed	
Appt 8: Open	
Enrollment Phase 2: ACF Senior 	
Add/ Drop Phase: ACF Senior, Junior

Preferred Days, Timings and Venue:
Lec1: TH	(11:00 AM - 12:15 PM) 204
Lec2: TH	(12:30 PM - 01:45 PM) 204"
ACF,ACCT,370,Applied Taxation,"""The course covers operation of Pakistan’s tax system, both direct and indirect with specific reference to: Computation of taxable income under various heads for individuals, partnerships and corporations Calculation of tax liability including computation of various exemptions and reliefs available for different categories of taxpayers. 
Explanation and application of the principles of General Sales Tax &Federal Excise Tax.
""",3.00,LEC,16W,S2,55,5,Yes,No,2,75,Yes,Not Allowed,"Bukhari,Huzaima","Enrollment Phase 1: ACF Senior 	
Appt 1: Open	
Appt 2: Closed	
Appt 3: Closed	
Appt 4: Closed	
Appt 5: Open	
Appt 6: Closed	
Appt 7: Closed	
Appt 8: Open	
Enrollment Phase 2: ACF Senior 	
Add/ Drop Phase: ACF Senior, Junior

Preferred Days, Timings and Venue:
Lec1: TH	(11:00 AM - 12:15 PM) 204
Lec2: TH	(12:30 PM - 01:45 PM) 204"
ACF,ACCT,411,Applied Financial Analysis,"Whether you watch analysts on CNBC or read articles in The Wall Street Journal, you’ll hear experts insisting on the importance of ""doing your homework"" before investing in a company. In other words, investors should dig deep into the company's financial statements and analyze everything from the auditor's report to the footnotes. But what does this advice really mean, and how does an investor follow it? This course is to answer these questions by providing a succinct yet advanced overview of financial statements analysis. If you already have a grasp of the definition of the balance sheet and the structure of an income statement, this course will give you a deeper understanding of how to analyze these reports and how to identify the ""red flags"" and ""gold nuggets"" of a company. In other words, it will teach you the important factors that make or break an investment decision",3.00,LEC,16W,S1,60,5,Yes,No,2,75,Yes,Not Allowed,"Rizwan,Saira","Enrollment Phase 1: ACF Junior, Senior 	
Appt 1: Open	
Appt 2: Open	
Appt 3: Closed	
Appt 4: Closed	
Appt 5: Open	
Appt 6: Open	
Appt 7: Closed	
Appt 8: Open	
Enrollment Phase 2: Any Junior, Senior 	
Add/Drop Phase: Any Junior, Senior 

Preferred Days, Timings and Venue:
Lec1: MW (03:30 PM - 04:45 PM) 203"
ACF,ACF,5101,Financial Management and Accounting,"This course is divided into three modules covering financial accounting, managerial accounting and foundations of finance. 

Module 1

Accounting is the universal language of business. Sound accounting knowledge is important for understanding and shaping capital markets. Users of financial reports include investors, creditors, managers, unions, and government agencies. This course introduces the concepts of financial accounting with emphasis on the interpretation of financial statements and how financial statement data can be used to assess and manage value creation activities. This module will help students understand what accounting can do for managers—the decision-makers. The objective of this module is to give students an understanding of current financial accounting and reporting environment, taking into account the diverse interests of both external users and management. 

Module 2

The second part of this course will cover analysis of financial statements using some basic techniques including horizontal and vertical analysis, ratio analysis and industry averages. 

Module 3

This module will lay the foundations of finance with an emphasis on applications vital for corporate managers. Major financial decisions made by corporate managers both within the firm and in their interactions with investors will be covered in this module. Essential in most of these decisions is the process of valuation, which will be emphasized throughout this module. Topics include criteria for making investment decisions, valuation of financial assets and liabilities, relationships between risk and return, capital structure choice, payout policy, and risk management.",3.00,LEC,MS2,S1,60,0,Yes,No,3,120,Yes,Not Allowed,Syed Mubashir  Ali,
ACF,ACF,5101,Financial Management and Accounting,"This course is divided into three modules covering financial accounting, managerial accounting and foundations of finance. 

Module 1

Accounting is the universal language of business. Sound accounting knowledge is important for understanding and shaping capital markets. Users of financial reports include investors, creditors, managers, unions, and government agencies. This course introduces the concepts of financial accounting with emphasis on the interpretation of financial statements and how financial statement data can be used to assess and manage value creation activities. This module will help students understand what accounting can do for managers—the decision-makers. The objective of this module is to give students an understanding of current financial accounting and reporting environment, taking into account the diverse interests of both external users and management. 

Module 2

The second part of this course will cover analysis of financial statements using some basic techniques including horizontal and vertical analysis, ratio analysis and industry averages. 

Module 3

This module will lay the foundations of finance with an emphasis on applications vital for corporate managers. Major financial decisions made by corporate managers both within the firm and in their interactions with investors will be covered in this module. Essential in most of these decisions is the process of valuation, which will be emphasized throughout this module. Topics include criteria for making investment decisions, valuation of financial assets and liabilities, relationships between risk and return, capital structure choice, payout policy, and risk management.",3.00,LEC,MS2,S1,60,0,Yes,No,3,120,Yes,Not Allowed,"Alam,Asad",
BUSADM,ACTA,6201,Business Analytics - Foundations,"The course focuses on exposing students to a number of statistical and analytical techniques that rely on a business’ data to 
solve business problems. The course covers the following themes: Data Transformation and Visualizations; Unsupervised 
Machine Learning; and Supervised Machine Learning. The objective is to have Data-savvy business experts who are proficient 
in analytics.",3.00,LEC,MS2,S1,30,0,Yes,No,3,120,Yes,Not Allowed,"Aamir Syed,Maheen",
BUSADM,ACTA,6202,Analytics in Accounting and Control,"The course aims to develop analytical knowledge and skills that can be applied to 'Big Data' sets of modern day businesses. It aims to hone participants’ ability in looking beyond the numbers by using specialized software such as MS PowerBI, Tableau, MS Excel, SQL, Talend (ETL concept), Open Refine etc. Through several projects and assignments, participants will be expected to analyze large sets of modified data to identify hidden trends and patterns, enabling them to make better informed business decisions.
This course is intended to provide students with an understanding of data analytic thinking and terminology as well as hands-on experience with data analytics tools and techniques. The students will be exposed to real-world applications, consistent with the global move towards automation and technological advancement in the fields of accounting, finance and control.",3.00,LEC,MS2,S1,30,0,Yes,No,3,120,Yes,Not Allowed,"Qamar,Ali",
BUSADM,ACTA,6301,Information Systems - Design and Security,"In the digital era, time-based competition has become the major focus of many businesses. Organizations are increasingly seeking 
to use Information Systems (IS) and Information Technology (IT) in order to rise to business challenges as quickly as possible and to 
gain competitive advantage. The rise of the digital economy has seen the need for knowledge and skills in relation to IS and IT 
becoming crucial, central and critical components of any business studies degree program. Today’s business students need to be 
able to demonstrate their understanding of IS and IT and its application in a business environment. Just as business students need 
to be able to understand and articulate the role that economic policies and financial statements such as the balance sheet and 
profit and loss statement, play in managing an organization’s accounting systems, so too do they need to understand the roles that 
different types of information systems play in supporting the decision-making processes of the different levels of organizational
management.

The objective of this course is to study management’s role in the development and use of information systems that help businesses 
achieve their goals and objectives. Information Technology (IT) has been the driving force behind the new way of doing business. IT 
has enabled modern organizations to make tremendous strides in productivity, has opened new markets and has created new 
product and service opportunities. Managers should understand how IT can help them deal with the complexity of modern 
organizations, manage relationships with employees, customers, suppliers along with improving work efficiency. The students will 
learn the material through the combination of class lectures, case studies and student presentations. 
This course provides students the opportunity to understand various principles of technological innovation driving major business 
transformations and leading to the creation of more intelligent and agile enterprises. Some of these principles include evolution 
and generations of emerging technologies, different types of technological trajectories, cycles and path dependencies of these 
technologies. The class includes a broad coverage of technology concepts and trends underlying current and future developments 
in Information Technology.",3.00,LEC,MS2,S1,30,0,Yes,No,3,120,Yes,Not Allowed,"Ali,Saqib",
BUSADM,ACTA,6302,Business Intelligence and Big Data Statistics,"This course focuses on business intelligence – an information technology approach to data collection, storage, and analysis to support a wide variety of management and operational tasks within an organization. Students learn analytical components of information systems gaining familiarity to technologies used to create dashboards and scorecards, data/text/web mining methods for trend and sentiment analysis, along with an overview of RDBMS and data warehousing, backbone of Decision Support Systems in an organization. Finally, students will be exposed to the concepts of data warehousing, Online Analytical Processing (OLAP) and data privacy. 
  
Students will be familiarized in lab sessions with python programming language for web scrapping and data cleaning, descriptive analysis and machine learning. While they will manage and analyze database using Structured Query Language (SQL). Students will utilize python libraries and Power BI tool to create visualizations for data presentation. Finally, students will be familiarized with core concepts of big data, its challenges and potential.
 
Students will actively participate in this course through class discussions of case studies along with hands on project work. Students will apply the knowledge acquired during the course by working in groups to build an information system for analytics from scratch. Here they will scrape web data, clean and transform it, load it in a relational database and perform data analyses.",3.00,LEC,MS2,S1,30,0,Yes,No,3,120,Yes,Not Allowed,"Yaqub,Ussama",
HSS,ANTH,100,Introduction to Cultural Anthropology,"This course is an introduction to cultural anthropology, a discipline that addresses the multifaceted nature of the human experience. As one of anthropology’s canonical four fields, cultural anthropology studies human societies and cultures, with an emphasis on understanding the massive diversity of humanity. In this course, we will explore a wide variety of cultural practices and social formations; students will be provided with the conceptual toolkit to address topics such as social hierarchies (race, class, gender, caste, ethnicity, age, rank), social organization (kinship, economics, politics), cultural practice (expressive culture, art, ritual, religion, language), and connections between different cultures (colonialism, migration, globalization). Students will also become familiar with anthropology’s historical trajectory and development, and its major theoretical movements and interventions. Ultimately, students will not only be able to appreciate the diversity of human cultures, but also be able to turn the anthropological lens on their own lives and communities.",4.00,LEC,16W,S1,70,0,Yes,No,2,100,Yes,All undergraduate students,"Paul Werth,Lukas Albert","Phase 2: open for MGSHSS and SAHSOL (Law School) freshmen and sophomore students
Add/Drop: Open for all first year and sophomore students.

10 seats per section are reserved for incoming MGSHSS students."
HSS,ANTH,100,Introduction to Cultural Anthropology,"This course is an introduction to cultural anthropology, a discipline that addresses the multifaceted nature of the human experience. As one of anthropology’s canonical four fields, cultural anthropology studies human societies and cultures, with an emphasis on understanding the massive diversity of humanity. In this course, we will explore a wide variety of cultural practices and social formations; students will be provided with the conceptual toolkit to address topics such as social hierarchies (race, class, gender, caste, ethnicity, age, rank), social organization (kinship, economics, politics), cultural practice (expressive culture, art, ritual, religion, language), and connections between different cultures (colonialism, migration, globalization). Students will also become familiar with anthropology’s historical trajectory and development, and its major theoretical movements and interventions. Ultimately, students will not only be able to appreciate the diversity of human cultures, but also be able to turn the anthropological lens on their own lives and communities.",4.00,LEC,16W,S2,70,0,Yes,No,2,100,Yes,All undergraduate students,"Esler,Dominic William","Phase 2: open for MGSHSS and SAHSOL (Law School) freshmen and sophomore students
Add/Drop: Open for all first year and sophomore students.

10 seats per section are reserved for incoming MGSHSS students."
ANTH&SOC,ANTH,244,Political Anthropology,"This survey course is an introduction to the broad subfield of political anthropology. What counts as political across different cultures and societies? How do relations of power come to be, and how does their organization, distribution, and appearance vary across time and space? Taking politics as an object of anthropological analysis, this class will explore how it relates to other aspects of society, such as family, religion, or economics. To organize our exploration of this subfield, we will use violence and power as twin lenses through which to view the realm of the political. Throughout the semester, we will ask what anthropology offers to help us understand the horror of political violence, and what we can glean about the nature of the political from the ethnographic realities of anger, joy, devastation, and hope. Drawing on a non-exhaustive range of ethnographic, philosophical, and multimedia sources from across the world, this course will equip students to think about power, politics, and the contemporary global condition using everyday perspectives and ordinary lives.",4.00,LEC,16W,S1,40,0,Yes,No,2,100,Take Home,Not Allowed,"Asif,Ghazal","Phase 2: open for First-year, sophomore and junior students in MGSHSS and SAHSOL 
Add/drop: All first years, sophomore and junior students can enroll
5 seats reserved for force enrollment."
ANTH&SOC,ANTH,253,Women's Lives Across Cultures,"This course focuses on contemporary women’s lives in different economic and cultural settings. It examines their common
experiences and some of the global processes which link them. The assigned readings and films this term deal with women living in
the Sudan, Mali, Nicaragua, the U.S., China, India, France, Thailand, Papa New Guinea, Afghanistan, Korea, Lebanon and Japan, as
well as women who are displaced around the world.
During the term we will examine some of the typical roles women play in society; the cultural rationales and structural conditions
behind practices like female circumcision and women’s acceptance of and resistance to such practices; the globalization of work,
sex, and ideas of female beauty; the influence different forms of social organization have on women’s lives; media images of
women; and women’s social activism and development work on behalf of women. We will also spend a significant portion of the
course critically deconstructing powder dynamics within the feminist movement, examining the impacts of western and neoliberal
feminisms, as well as the significant contributions of black, postcolonial, and indigenous feminists towards gender, sexuality, and
race-based rights.
As anthropologists we will be striving to acquire an insider’s perspective, but we will also examine the opinions of outsiders who
typically view other women’s lives through the filter of their own culture. We will be reading about and watching films which show
both women’s victimization as well as their agency and collective efforts to create better lives for themselves and for their societies
and future generations.",4.00,LEC,16W,S1,35,0,Yes,No,2,100,No,Not Allowed,Rabia  Kamal,"Phase 2: Open for First-year, sophomore and junior students in MGSHSS and SAHSOL
Add/drop: All First-year, sophomore and junior students can enroll"
ANTH&SOC,ANTH,266,Kinship: Making Sense of Human Relations,"Before we know of anything we know that we belong to a family or caste, clan, tribe etc., and we know about our relatives, and this knowledge seems so much self-evident that we may ask what else we could know about kinship. We are so often convinced that the notion of the family is universal, natural, linked to blood relations, that a child needs mother and father, and that our siblings are those who are born of our parents, as well as that we may marry our cousins. This course will question the universality of all such concepts and will explain how they are relativized by different ethnographic data, leading to alternative views and perspectives.
The course will concentrate on the foundational aspects of the debate on understanding kinship: we will explore the different perspectives on kinship which include the beginnings of anthropology itself. It is structured in four main parts: it links kinship to nature and culture, locates its meaning within the structuralist
perspective, and in the end focuses on its intrinsic connection to gender. The literature takes us to different regions of the world, like Africa, South Asia, the USA, and Melanesia.
The debate on kinship was long regarded as a core of the anthropological discipline, before many other interests opened up and widened and diversified the discipline. However, it is still important, and the fundamental platform for accessing any society as a whole, as it provides essential clues for an understanding of the human subject as well as social and cultural organization. Kinship also crucially interacts with other topics, like, ritual, gender, economics, politics, or religion. Furthermore, it is the only branch of cultural anthropology which is not shared with any other discipline.",4.00,LEC,16W,S1,50,0,Yes,No,2,100,Outside Exam Week,All undergraduate students,"Alvi,Syeedda Anjum Ara","Phase 2: First-year, sophomore and junior students in MGSHSS and SAHSOL can enroll.
Add/Drop: All First-year, sophomore and junior students can enroll.
5 seats reserved for force enrollment."
